Continent,Week,mean,std,min,max
America,27/03/2022 - 02/04/2022,2287.44,6604.648903073772,0,44415
America,03/04/2022 - 09/04/2022,2033.6,6026.818980439724,0,44550
America,10/04/2022 - 16/04/2022,2365.6,8419.650439135901,0,73178
America,17/04/2022 - 23/04/2022,2180.8114285714287,7948.490881407783,-11193,56068
America,24/04/2022 - 30/04/2022,2694.2114285714288,10963.755235198383,0,88576
America,01/05/2022 - 07/05/2022,2921.594285714286,11817.488266152703,0,89812
America,08/05/2022 - 14/05/2022,3529.6857142857143,16534.469504733308,-400,129052
America,15/05/2022 - 21/05/2022,4312.931428571429,19482.072636494857,0,161021
America,22/05/2022 - 28/05/2022,5531.965714285714,26126.92764727943,-1556,203833
America,29/05/2022 - 04/06/2022,5131.754285714285,24311.78145224669,0,210740
America,05/06/2022 - 11/06/2022,5712.4457142857145,26520.82632912307,0,228723
America,12/06/2022 - 18/06/2022,5260.5028571428575,23875.771881095192,0,198599
America,19/06/2022 - 25/06/2022,5711.36,24024.202379420552,0,184888
America,26/06/2022 - 02/07/2022,5635.5257142857145,22622.270335828885,0,185360
America,03/07/2022 - 09/07/2022,6470.651428571428,26604.800426936305,0,189893
America,10/07/2022 - 16/07/2022,6610.365714285715,24862.2959632982,0,200404
America,17/07/2022 - 23/07/2022,8229.26857142857,30241.4139862412,0,204317
America,24/07/2022 - 30/07/2022,8302.685714285713,28287.239487345705,0,216403
America,31/07/2022 - 06/08/2022,7788.154285714286,31078.531082504094,0,239777
America,07/08/2022 - 13/08/2022,6920.017142857143,26739.468766263915,-10552,200399
America,14/08/2022 - 20/08/2022,6420.4857142857145,25598.313323759165,0,196479
America,21/08/2022 - 27/08/2022,4846.765714285714,19915.06334402477,0,149128
America,28/08/2022 - 03/09/2022,5091.12,21713.48022112308,0,151689
America,04/09/2022 - 10/09/2022,3995.16,18646.87173134028,0,154220
America,11/09/2022 - 17/09/2022,3471.0285714285715,16846.258994458512,0,123971
America,18/09/2022 - 24/09/2022,2720.64,13361.428334136881,-141,103201
America,25/09/2022 - 01/10/2022,2881.1828571428573,13225.09836309347,0,98364
America,02/10/2022 - 08/10/2022,2290.405714285714,10980.782215242589,0,86545
America,09/10/2022 - 15/10/2022,2118.6457142857143,9740.072251860423,0,71377
America,16/10/2022 - 22/10/2022,1852.5657142857142,8614.86895684695,-1908,64701
America,23/10/2022 - 29/10/2022,1908.7428571428572,8403.588688607422,0,60699
America,30/10/2022 - 05/11/2022,1948.2342857142858,8584.075063608678,0,71540
America,06/11/2022 - 12/11/2022,2086.0,9614.392057934716,-111,74039
America,13/11/2022 - 19/11/2022,1957.4914285714285,9719.920235747513,-229,97325
America,20/11/2022 - 26/11/2022,2285.3771428571426,10401.105130028798,-1301,84748
America,27/11/2022 - 03/12/2022,2063.28,10363.70559124819,-267,113440
America,04/12/2022 - 10/12/2022,3597.7771428571427,14435.021481597701,0,113012
America,11/12/2022 - 17/12/2022,3615.285714285714,16057.475555181596,-270,145440
America,18/12/2022 - 24/12/2022,3750.9714285714285,16699.915274211595,0,148168
America,25/12/2022 - 31/12/2022,3595.5485714285714,18793.706629953078,-65286,182123
America,01/01/2023 - 07/01/2023,3649.3314285714287,15953.016365734284,0,113344
America,08/01/2023 - 14/01/2023,4139.942857142857,20362.418544876145,-1029,198116
America,15/01/2023 - 21/01/2023,2925.6114285714284,14046.575125495554,0,139618
America,22/01/2023 - 28/01/2023,2667.8285714285716,13728.830216313925,0,128630
America,29/01/2023 - 04/02/2023,2048.5714285714284,10332.488508343045,-1524,102308
America,05/02/2023 - 11/02/2023,2216.52,12001.975396719003,-44,116509
America,12/02/2023 - 18/02/2023,1723.4171428571428,9641.764251251734,0,83517
America,19/02/2023 - 25/02/2023,1943.0857142857142,9748.25606145721,0,89007
America,26/02/2023 - 04/03/2023,1729.72,10418.076124951636,-134,110163
America,05/03/2023 - 11/03/2023,1835.3885714285714,9787.104803482558,-3862,90417
America,12/03/2023 - 18/03/2023,1968.95,8694.952810177416,0,64861
Asia,26/01/2020 - 01/02/2020,1.9519230769230769,5.541335942970824,0,33
Asia,02/02/2020 - 08/02/2020,4.851648351648351,15.518834485465147,0,99
Asia,09/02/2020 - 15/02/2020,4.8791208791208796,14.693806839749561,0,93
Asia,16/02/2020 - 22/02/2020,2.197802197802198,5.7300598865282,0,42
Asia,23/02/2020 - 29/02/2020,4.164835164835165,22.90203191847349,0,229
Asia,01/03/2020 - 07/03/2020,18.675824175824175,96.33493235221546,0,813
Asia,08/03/2020 - 14/03/2020,22.791208791208792,103.49617832467305,0,851
Asia,15/03/2020 - 21/03/2020,13.521978021978022,31.35216225133074,-28,242
Asia,22/03/2020 - 28/03/2020,36.57142857142857,64.22098293219,0,566
Asia,29/03/2020 - 04/04/2020,105.96153846153847,275.27405461171134,0,2069
Asia,05/04/2020 - 11/04/2020,192.57692307692307,511.0952837561437,0,3135
Asia,12/04/2020 - 18/04/2020,296.6978021978022,864.7809749822644,0,5138
Asia,19/04/2020 - 25/04/2020,398.15934065934067,1090.3984126121918,0,6060
Asia,26/04/2020 - 02/05/2020,430.0164835164835,1227.382231977146,0,6361
Asia,03/05/2020 - 09/05/2020,451.2802197802198,1555.2222464844604,0,10633
Asia,10/05/2020 - 16/05/2020,552.2582417582418,2073.111690699278,0,11231
Asia,17/05/2020 - 23/05/2020,527.7637362637363,1992.165512716976,0,11656
Asia,24/05/2020 - 30/05/2020,457.66483516483515,1725.4481787149195,0,9434
Asia,31/05/2020 - 06/06/2020,462.3076923076923,1686.978699130999,0,9268
Asia,07/06/2020 - 13/06/2020,464.2802197802198,1680.0760189141258,0,8971
Asia,14/06/2020 - 20/06/2020,488.72527472527474,1685.7199492541638,0,8970
Asia,21/06/2020 - 27/06/2020,465.96153846153845,1539.9422008432496,0,8241
